"";"party";"content";"target";"stance"
"1403";"nor: Christian People’s Party";"Rasisme og diskriminering må bekjempes på alle fronter.";"integration";"FAVOR"
"1404";"nor: Christian People’s Party";"Alle mennesker, uavhengig av kjønn og etnisk bakgrunn, skal ha like muligheter, rettigheter og plikter i forhold til deltakelse i samfunnet.";"integration";"FAVOR"
"1405";"nor: Christian People’s Party";"Det er behov for sterkere fokus på vanskeligstilte minoritetsgrupper, spesielt kvinner.";"integration";"FAVOR"
"1406";"nor: Christian People’s Party";"Det må arbeides med holdninger mot kjønnslemlestelse og tvangsekteskap";"integration";"FAVOR"
"1407";"nor: Christian People’s Party";"i tillegg til at dette må forfølges strafferettslig.";"integration";"AGAINST"
"1408";"nor: Christian People’s Party";"KrF vil styrke rettighetene til papirløse innvandrere.";"immigration";"FAVOR"
"1409";"nor: Christian People’s Party";"Det må bli lettere å få oppholdstillatelse for barn som har levd lenge i Norge.";"integration";"FAVOR"
"1410";"nor: Christian People’s Party";"Konvertitter har generelt vanskelige livsvilkår.";"integration";"FAVOR"
"1411";"nor: Christian People’s Party";"KrF mener at FNs høykommisær for flyktningers (UNHCRs) retningslinjer om religionsforfølgelse må nedfelles i forskrifter og legges til grunn ved behandlingen av saker hvor beskyttelse påberopes på grunn av religiøs forfølgelse";"integration";"FAVOR"
"1412";"nor: Christian People’s Party";".  Asylinstituttet må respekteres.";"immigration";"FAVOR"
"1413";"nor: Christian People’s Party";"Det må gis et verdig oppholdstilbud under søknadsperioden gjennom blant annet mer aktivisering av beboere i asylmottak ved blant annet å åpne for bruk av sivile vernepliktige som aktivtører";"immigration";"FAVOR"
"1414";"nor: Christian People’s Party";"Det er et nasjonalt ansvar å ta imot flyktninger, men en forutsetning for å lykkes med integreringsarbeidet, er at kommunene bosetter flyktningene så raskt som mulig.";"immigration";"FAVOR"
"1415";"nor: Christian People’s Party";"Kommunene må pålegges bosetting";"integration";"FAVOR"
"1416";"nor: Christian People’s Party";"og gode integreringsopplegg.";"integration";"FAVOR"
"1417";"nor: Christian People’s Party";"Samtidig må staten sørge for gode økonomiske rammer for bosetting og integrering";"integration";"FAVOR"
"1418";"nor: Christian People’s Party";"Norge må tilrettelegge for nødvendig arbeidsinnvandring og gjøre landet attraktivt for spesialister og høyt utdannet arbeidskraft";"immigration";"FAVOR"
"1419";"nor: Christian People’s Party";". Det bør blant annet bli mulig å søke om arbeidstillatelse fra Norge for kvalifiserte utenlandske arbeidssøkere som allerede befinner seg her.";"immigration";"FAVOR"
"1420";"nor: Christian People’s Party";". Gode bo- og levevilkår er viktig.";"integration";"FAVOR"
"1421";"nor: Christian People’s Party";"eller utvanning av arbeidsmiljøreglene.";"integration";"FAVOR"
"1422";"nor: Christian People’s Party";"Introduksjonsprogrammet bør utvides ytterligere,";"integration";"FAVOR"
"1423";"nor: Christian People’s Party";"og arbeidsinnvandrere og deres familier må få tilbud om norskkurs.";"integration";"FAVOR"
"1424";"nor: Christian People’s Party";"Vellykket integrering og inkludering bygger på respekt for ulike kulturer og livssyn.";"integration";"FAVOR"
"1425";"nor: Christian People’s Party";"Det er behov for en sterkere og mer målrettet integreringspolitikk.";"integration";"FAVOR"
"1426";"nor: Christian People’s Party";"Kunnskap og kompetanse hos innvandrere må utnyttes bedre. Et flerkulturelt samfunn er en berikelse.";"integration";"FAVOR"
"1427";"nor: Christian People’s Party";"Arbeidet med inkludering av innvandrere må være mer målrettet,";"integration";"FAVOR"
"1428";"nor: Christian People’s Party";"og samarbeidet med frivillige organisasjoner må økes.";"integration";"FAVOR"
"1429";"nor: Christian People’s Party";"Arbeidsledigheten er høyere blant innvandrere enn hos etniske nordmenn.";"integration";"AGAINST"
"1430";"nor: Christian People’s Party";"Det må gjennomføres tiltak i arbeidslivet som bryter de barrierene som finnes for å ansette innvandrere.";"integration";"FAVOR"
"1431";"nor: Christian People’s Party";"Utdanning og rekruttering av innvandrere innen det offentlige og andre viktige stillinger i samfunnet vil gi synlige forbilder for unge mennesker og innvandringsmiljøene.";"integration";"FAVOR"
"1432";"nor: Christian People’s Party";"at Norge skal ta imot minst 2 000 overføringsflyktninger årlig.";"immigration";"FAVOR"
"1433";"nor: Christian People’s Party";"styrke støtteapparatet rundt flyktninger og asylsøkere for å sikre dem hensiktsmessig hjelp gjennom blant annet tilbud om psykiatrisk vurdering for å kartlegge eventuelle behov for videre hjelp.";"immigration";"FAVOR"
"1434";"nor: Christian People’s Party";"at behandlingstiden for asylsøknader kortes ned til seks måneder.";"immigration";"FAVOR"
"1435";"nor: Christian People’s Party";"legge til rette for økt bosetting i kommunene";"immigration";"FAVOR"
"1436";"nor: Christian People’s Party";"og samtidig sikre kommunene full utgiftsdekning.";"immigration";"FAVOR"
"1437";"nor: Christian People’s Party";"etablere flere prosjekter med kombinasjon av barnepass og norskopplæring uten at kontantstøtten blir fratatt deltakerne";"integration";"FAVOR"
"1438";"nor: Christian People’s Party";", og gjøre det mulig å tilby grupper med språkutfordringer gratis kjernetid i barnehage.";"integration";"FAVOR"
"1439";"nor: Christian People’s Party";"øke antall norsktimer i introduksjonsprogrammet etter individuell vurdering";"integration";"FAVOR"
"1440";"nor: Christian People’s Party";"at det i introduksjonsprogrammet skal utvises skjønn med tanke på bytte av bostedskommune når det av helsemessige eller praktiske årsaker kan være nødvendig.";"integration";"FAVOR"
"1441";"nor: Christian People’s Party";"gi alle arbeidsinnvandrere tilbud om norskundervisning i samarbeid med arbeidsgiverne.";"integration";"FAVOR"
"1442";"nor: Christian People’s Party";"gi tilbud om gratis norskundervisning i asylmottakene.";"integration";"FAVOR"
"1443";"nor: Christian People’s Party";"åpne for at asylsøkere skal få arbeidstillatelse dersom de får jobb";"integration";"FAVOR"
"1444";"nor: Christian People’s Party";", og vurdere å innføre yrkesopplæring i asylmottakene.";"integration";"FAVOR"
"1445";"nor: Christian People’s Party";"at innvandrere som mottar sosialhjelp etter endt introduksjonsprogram, og som ikke kan dokumentere tilstrekkelige norskkunnskaper, må få delta på fortsatt norskopplæring.";"integration";"FAVOR"
"1446";"nor: Christian People’s Party";"fortsette kampen mot tvangsekteskap i dialog med minoritetsmiljøene.";"integration";"FAVOR"
"1447";"nor: Christian People’s Party";"styrke asylbarnas stilling ved at barnevernet har omsorgen for også de enslige mindreårige flyktningene over 15 år,";"integration";"FAVOR"
"1448";"nor: Christian People’s Party";"og at alle skal få tilbud om en norsk kontaktfamilie i nærmiljøet.";"integration";"FAVOR"
"1449";"nor: Christian People’s Party";"motarbeide diskriminering i arbeidslivet ved å foreslå aktivitetsplikt for arbeidsgivere i diskrimineringsloven, bruke lønnstilskudd overfor kvalifiserte personer med minoritetsbakgrunn.";"integration";"FAVOR"
"1450";"nor: Christian People’s Party";"at botid skal være relevant hensyn ved søknad om oppholdstillatelse på humanitært grunnlag.";"immigration";"FAVOR"
"1451";"nor: Christian People’s Party";"at saksbehandlingen for behandling av saker med konvertitter skal foregå etter UNHCRs retningslinjer mot religionsforfølgelse.";"immigration";"FAVOR"
"1452";"nor: Christian People’s Party";"likestille behandlingen av religiøse og politiske asylsøkere.";"immigration";"FAVOR"
"1453";"nor: Christian People’s Party";"bedre ordningene for oppholdstillatelse for utenlandske statsborgere med norsk kjæreste.";"immigration";"FAVOR"
"1454";"nor: Christian People’s Party";"Den gode skole vektlegger lærelyst og mestring, og arbeider ut fra et bredt kompetansesyn og danningsmandat, i tråd med Unescos fire søyler for livslang læring: Elevene må lære å kunne, å gjøre, å være og å leve sammen.";"integration";"FAVOR"
"1455";"nor: Christian People’s Party";"Skolens arbeid står i et livslangt læringsperspektiv, hvor også skapende aktivitet, kreativ utfoldelse og sosial, kulturell og etisk kompetanse er viktige ingredienser.";"integration";"FAVOR"
"1456";"nor: Christian People’s Party";"Dette kan ofte være spesielt viktig for flerkulturelle familier.";"integration";"FAVOR"
"1457";"nor: Christian People’s Party";"KrF vil arbeide for at disse arbeidstakerne har samme betingelser som norske arbeidstakere og vil motarbeide sosial dumping.";"integration";"FAVOR"
"1458";"nor: Christian People’s Party";". Så sant arbeidets art tillater det, bør det legges til rette for avtaler om livsfasetilpasset arbeidstid for et visst tidsrom.";"integration";"FAVOR"
"1459";"nor: Christian People’s Party";". Arbeidsinnvandringen  har skapt økende utfordringer for arbeidet med å hindre sosial dumping";"integration";"FAVOR"
"1460";"nor: Christian People’s Party";"føre et kontinuerlig holdningsarbeid mot skjult diskriminering av seniorer, funksjonshemmede og innvandrere i arbeidslivet, i samarbeid med ressursmiljøer.";"integration";"FAVOR"
"1461";"nor: Christian People’s Party";"sikre Arbeidstilsynet tilstrekkelige ressurser til at det kan følge opp sitt ansvar for å påse at bestemmelser om lønns- og arbeidsvilkår blir fulgt opp, og ha et særlig fokus mot bedrifter og bransjer som benytter seg av utenlandsk arbeidskraft.";"integration";"FAVOR"
"1462";"nor: Christian People’s Party";"at det skal være mulig å søke om arbeidstillatelse fra Norge for kvalifiserte utenlandske arbeidssøkere som allerede befinner seg her.";"integration";"FAVOR"
"1463";"nor: Christian People’s Party";"Kommunene har et særskilt ansvar for den sosiale boligbyggingen som fremskaffelse av egnede boliger til vanskeligstilte og grupper som selv ikke kan skaffe seg bolig, som blant annet boliger til psykiske utviklingshemmede, rusavhengige, psykiatriske pasienter, flyktninger og omsorgsboliger.";"integration";"FAVOR"
"1464";"nor: Christian People’s Party";"Sentrale boligvirkemidler som bostøtte, startlån og boligtilskudd må gjøre det mulig både å skaffe seg og beholde sin egen bolig";"integration";"FAVOR"
"1465";"nor: Christian People’s Party";"og integrering av minoritetsspråklige.";"integration";"FAVOR"
"1466";"nor: Christian People’s Party";". Oslo har de beste og dårligste levekår i Norge, og de største sosiale utfordringene, ikke minst innenfor psykiatri, rus og integrering.";"integration";"NONE"
"1467";"nor: Conservative Party";"alle mennesker skal respekteres og behandles som likeverdige, uavhengig av kjønn, alder, religion, etnisk tilhørighet, funksjonsdyktighet eller legning";"integration";"FAVOR"
"1468";"nor: Conservative Party";"Sterke nasjonale forskningsmiljøer bidrar også til at både utenlandske bedrifter og forskere finner det interessant å etablere seg i norge.";"integration";"FAVOR"
"1469";"nor: Conservative Party";"kultur og språk er grunnlaget for identitet og tilhørighet, men også viktig for å forstå andres kultur og religion";"integration";"FAVOR"
"1470";"nor: Conservative Party";". høyre ønsker et mangfoldig og variert kulturliv hvor flest mulig får anledning til å delta og bidra.";"integration";"FAVOR"
"1471";"nor: Conservative Party";"innføre obligatorisk kartlegging av grunnleggende ferdigheter, først og fremst med hensyn til språk, ved fireårskontrollen i hele landet,";"integration";"FAVOR"
"1472";"nor: Conservative Party";"føre en innvandringspolitikk som gjør det lettere med arbeidsinnvandring til norge også fra land utenfor eøS-området.";"immigration";"FAVOR"
"1473";"nor: Conservative Party";"redusere det statlige eierskapet i norsk næringsliv betydelig.";"immigration";"AGAINST"
"1474";"nor: Conservative Party";"gå gjennom regler og organisering av søknadsprosessen for ekspertinnvandrere for å sikre raskere tilgang på høykvalifisert arbeidskraft.";"immigration";"FAVOR"
"1475";"nor: Conservative Party";"l ette arbeidsinnvandringen ved å etablere et felles servicesenter for politi, udI, nav  og skatteetaten.";"immigration";"FAVOR"
"1476";"nor: Conservative Party";"o ppheve boplikten.";"integration";"FAVOR"
"1477";"nor: Conservative Party";"klargjøre ansvarslinjene mellom offentlige myndigheter for å sikre et bedre tilbud til kvinner og barn som opplever vold i nære relasjoner eller som frykter tvangsekteskap, kjønnslemlestelse eller menneskehandel.";"integration";"FAVOR"
"1478";"nor: Conservative Party";"styrke innsatsen mot den økonomiske kriminaliteten som trekker utlendinger til norge for å tjene penger uten å ha lovlig opphold.";"immigration";"AGAINST"
"1479";"nor: Conservative Party";"s tille seg kritisk til innføringen av nye lover som øker adgangen til, eller omfanget av, overvåkning i samfunnet.";"integration";"FAVOR"
"1480";"nor: Conservative Party";"o ppheve rasismeparagrafen når en ny universell antidiskrimineringslov er på plass.";"integration";"FAVOR"
"1481";"nor: Conservative Party";"u høyres mål er å sikre at urfolk og minoriteter får utvikle sitt språk, sin kultur og sitt samfunnsliv. det viktigste er å sikre barns mulighet til å lære sitt språk og kjenne sin kultur.";"integration";"FAVOR"
"1482";"nor: Conservative Party";"norge har nasjonale minoriterer som kvener, jøder, skogfinner, rom og romanifolk.";"integration";"NONE"
"1483";"nor: Conservative Party";"Som urfolk står likevel samene i en særstilling i norden";"integration";"FAVOR"
"1484";"nor: Conservative Party";". norge har ansvar for å verne om mangfoldet og bidra til at samiske interesser støttes og får mulighet til medvirkning og påvirkning.";"integration";"FAVOR"
"1485";"nor: Conservative Party";"u tvikle samisk næringsliv, herunder reiseliv knyttet til samisk kultur.";"integration";"FAVOR"
"1486";"nor: Conservative Party";"u høyres mål er at innvandrere og flyktninger raskest mulig skal bli i stand til å forsørge seg selv.";"integration";"AGAINST"
"1487";"nor: Conservative Party";"norge er et flerkulturelt land der innvandrere beriker både samfunnet og arbeidslivet gjennom den erfaring, kunnskap og arbeidsvilje de har, og de ideer de kan bidra med som følge av at de har en annen kulturell bakgrunn.";"integration";"FAVOR"
"1488";"nor: Conservative Party";"Samtidig byr det flerkulturelle samfunnet på utfordringer som må løses for å kunne realisere hvert enkelt menneskes muligheter.";"integration";"FAVOR"
"1489";"nor: Conservative Party";"og respekt for enkeltmennesket må ligge til grunn også for et flerkulturelt norge.";"integration";"FAVOR"
"1490";"nor: Conservative Party";"vellykket integrering bygger på gjensidighet i plikter og rettigheter, kommunikasjon, anerkjennelse og respekt for hverandre som mennesker.";"integration";"FAVOR"
"1491";"nor: Conservative Party";"høyre vil styrke innsatsen for få flere innvandrere til å delta i arbeidslivet";"integration";"FAVOR"
"1492";"nor: Conservative Party";"derfor vil høyre ha klare økonomiske krav for dem som henter familien til landet.";"integration";"FAVOR"
"1493";"nor: Conservative Party";"det å bli fullverdig medlem av det norske samfunnet som statsborger innebærer både rettigheter og plikter.";"integration";"AGAINST"
"1494";"nor: Conservative Party";". de som får norsk statsborgerskap, har bodd i norge i flere år.";"integration";"AGAINST"
"1495";"nor: Conservative Party";"for å understreke forventningen om dette vil høyre innføre en obligatorisk språk- og kunnskapstest for alle som søker statsborgerskap.";"integration";"AGAINST"
"1496";"nor: Conservative Party";"Statsborgerskapet overleveres ved en seremoni når testen er bestått.";"integration";"AGAINST"
"1497";"nor: Conservative Party";"det etableres unntaksordninger for personer med spesielle behov.";"integration";"FAVOR"
"1498";"nor: Conservative Party";"u tvide antallet norsktimer i introduksjonsprogrammet til 300, og ytterligere 300 hvis man ikke består en språktest.";"integration";"AGAINST"
"1499";"nor: Conservative Party";"i nnføre en obligatorisk språk og kunnskapstest for alle som søker norsk statsborgerskap.";"integration";"AGAINST"
"1500";"nor: Conservative Party";"a t statsborgerskapet skal markeres ved en seremoni.";"integration";"AGAINST"
"1501";"nor: Conservative Party";"styrke  tilbudet om fireårskontroll, språkkontroll og opplæring av barn i innvandrerfamilier.";"integration";"AGAINST"
"1502";"nor: Conservative Party";"bedre realkompetansevurdering";"integration";"FAVOR"
"1503";"nor: Conservative Party";"og tilbud om oppdatering av kompetanse for å sikre at utdanningen innvandrerne allerede har, kan brukes i norge.";"integration";"FAVOR"
"1504";"nor: Conservative Party";"og sommerskole for spesielt å nå innvandrerbarn.";"integration";"FAVOR"
"1505";"nor: Conservative Party";"fokusere særskilt på å få flere innvandrerkvinner ut i jobb og i aktiv deltakelse i samfunnet.";"integration";"FAVOR"
"1506";"nor: Conservative Party";"styrke  oppfølging  av  psykisk  syke  flyktninger.";"integration";"FAVOR"
"1507";"nor: Conservative Party";"f orsterke arbeidet mot tvangsekteskap, kjønnslemlestelse og diskriminering,";"integration";"FAVOR"
"1508";"nor: Conservative Party";"og etablere systemer som gjør at helsepersonell melder kjønnslemlestelse til politiet og ikke bare til barnevernet.";"integration";"FAVOR"
"1509";"nor: Conservative Party";"samarbeide med innvandrerorganisasjoner og kulturelle og religiøse samfunn for å sikre at enkeltgrupper ikke faller utenfor i det norske samfunnet.";"integration";"FAVOR"
"1510";"nor: Conservative Party";"styrke det lokale integreringsarbeidet gjennom å gi kommuner og frivillige organisasjoner ressurser til å drive integreringsarbeid.";"integration";"FAVOR"
"1511";"nor: Conservative Party";"det viktigste er å hjelpe mennesker på flukt og ha en streng, men rettferdig og human flyktning- og asylpolitikk.";"immigration";"FAVOR"
"1512";"nor: Conservative Party";"norge har en plikt til å hjelpe mennesker i nød gjennom forebygging av konflikter, katastrofehjelp og ved å gi trygghet fra forfølgelse.";"immigration";"FAVOR"
"1513";"nor: Conservative Party";"de fleste mennesker som er på flukt, oppholder seg i egne nærområder.";"immigration";"FAVOR"
"1514";"nor: Conservative Party";"det er viktig å hjelpe både enkeltland med stor tilstrømning av flyktninger";"immigration";"FAVOR"
"1515";"nor: Conservative Party";"og fns høykommissær for flyktninger";"immigration";"FAVOR"
"1516";"nor: Conservative Party";". høyre vil at norge skal øke støtten for å sikre flere flyktninger en fremtid utenfor flyktningleirene.";"immigration";"FAVOR"
"1517";"nor: Conservative Party";"høyre vil verne om flyktningkonvensjonen og retten til å søke asyl.";"immigration";"FAVOR"
"1518";"nor: Conservative Party";"derfor er det nødvendig å ha et klart skille mellom asylretten og generell innvandring.";"immigration";"AGAINST"
"1519";"nor: Conservative Party";"hovedprinsippene for asylretten følger av flyktningkonvensjonen";"immigration";"FAVOR"
"1520";"nor: Conservative Party";", men samtidig er det viktig å ha politisk kontroll over utviklingen av regelverket på utlendingsområdet.";"immigration";"AGAINST"
"1521";"nor: Conservative Party";"av hensyn til den enkelte asylsøker, dennes familie og integreringen i det norske samfunnet bør behandlingen av alle søknader skje så raskt som mulig.";"immigration";"FAVOR"
"1522";"nor: Conservative Party";"anledningen til å trenere hjemsendelse etter avslag må begrenses";"immigration";"AGAINST"
"1523";"nor: Conservative Party";", og samarbeidet om returavtaler med andre asylmottakerland må styrkes.";"immigration";"AGAINST"
"1524";"nor: Conservative Party";"ha en tett oppfølging av regelverksutviklingen på utlendingsområdet.";"immigration";"AGAINST"
"1525";"nor: Conservative Party";"e tablere en egen returpolitikk som fører til raskere utsendelse av grunnløse asylsøkere og personer som oppholder seg ulovlig i norge.";"immigration";"AGAINST"
"1526";"nor: Conservative Party";"bruke bistandsmidler for å få på plass flere returavtaler.";"immigration";"AGAINST"
"1527";"nor: Conservative Party";"stramme inn på mulighetene til å trenere saker.";"integration";"AGAINST"
"1528";"nor: Conservative Party";"og stramme inn kravet i utlendingsloven om at asylsøkere skal bidra til å avklare egen identitet.";"immigration";"AGAINST"
"1529";"nor: Conservative Party";"stramme inn definisjonen av flyktningbegrepet og reversere de siste års liberalisering.";"immigration";"AGAINST"
"1530";"nor: Conservative Party";"åpne for å øke antall kvoteflyktninger hvis situasjonen tilsier det.";"immigration";"FAVOR"
"1531";"nor: Conservative Party";"a t personer som får opphold som asylsøker eller på grunn av sterkt menneskelige hensyn, skal ha vært i arbeid eller utdannelse i minst fire år før de kan søke om familieetablering.";"immigration";"AGAINST"
"1532";"nor: Conservative Party";"i nnføre  et  meldepliktsystem  for  personer  som søker om asyl, og som ikke bor på mottak, og  for personer som har fått avslag og som venter på utsendelse.";"immigration";"AGAINST"
"1533";"nor: Conservative Party";"gjentatte brudd på meldeplikten  må  kunne  føre  til  forvaring.";"immigration";"AGAINST"
"1534";"nor: Conservative Party";"e tablere forvaringsordninger for asylsøkere som begår kriminelle handlinger, inntil asylsøknaden er ferdigbehandlet.";"immigration";"AGAINST"
"1535";"nor: Conservative Party";"g i bedre oppfølging av psykisk syke asylsøkere, både i søknadsperioden og ved bosetting.";"immigration";"FAVOR"
"1536";"nor: Centre Party";". Alle skal ha likeverdige høve uavhengig av kjønn, alder, seksuell orientering, funksjonsnivå, sivilstand, buplass, livssyn og etnisk tilhøyrsel";"integration";"FAVOR"
"1537";"nor: Centre Party";"Varig fred mellom folkeslag og nasjonar byggjer på gjensidig respekt for ulike kulturar og levesett";"integration";"FAVOR"
"1538";"nor: Centre Party";". Vi vet at det stadig vekk finnes lokalsamfunn der barn blir mobbet, der kvinner opplever overgrep, der funksjonshemmede ikke kan delta på like fot med andre, og der flyktninger og innvandrere ikke blir tatt med i samfunns- og arbeidsliv";"integration";"FAVOR"
"1539";"nor: Centre Party";"I bygginga av gode lokalsamfunn og nærmiljø er det ikke forskjell på satsing i by og land";"integration";"FAVOR"
"1540";"nor: Centre Party";": Alle fortjener å vokse opp i, arbeide i og bli pensjonist i trygge og levende nærmiljø.";"integration";"FAVOR"
"1541";"nor: Centre Party";"Senterpartiet vil framheve hvor viktig det er med frivillige organisasjoner, fag- og næringsforeninger, velforeninger, lokalutvalg og bydelsdemokrati";"integration";"FAVOR"
"1542";"nor: Centre Party";"Ikkje ha ynglingar av ulv i Noreg på lik line med innvandra artar som til dømes mårhund og villsvin.";"integration";"FAVOR"
"1543";"nor: Centre Party";"Sikre tilbudet om morsmålsundervisning til elever med minoritetsbakgrunn.";"integration";"FAVOR"
"1544";"nor: Centre Party";"Sikre sidemålsundervisningen med sidestilt eksamensordning både for hovedmål og sidemål i to skilte eksamener.";"integration";"FAVOR"
"1545";"nor: Centre Party";".    Norge har fortsatt systematiske forskjeller i helsetilstand i befolkningen som skyldes ulikheter i økonomiske og sosiale bakgrunnsfaktorer, slik som utdanning og bosted";"integration";"FAVOR"
"1546";"nor: Centre Party";". Eit inkluderande arbeidsliv vil medverke positivt til verdiskapinga og til utviklinga av kompetanse og arbeidsmiljø på arbeidsplassane";"integration";"FAVOR"
"1547";"nor: Centre Party";"Bruke næringslivet som aktiv partnar i Nav gjennom nærvær.";"integration";"FAVOR"
"1548";"nor: Centre Party";"Ha obligatorisk språktest av alle fireåringer";"integration";"AGAINST"
"1549";"nor: Centre Party";"Øke andel av førskolelærere med innvandrerbakgrunn.";"integration";"FAVOR"
"1550";"nor: Centre Party";"Senterpartiet mener at alle skal ha likeverdige muligheter, uavhengig av kjønn, seksuell orientering, funksjonsnivå, sivilstand, bosted og etnisk tilhørighet";"integration";"FAVOR"
"1551";"nor: Centre Party";". Målet er et likestilt samfunn, der kvinner og menn har felles ansvar for familien og like muligheter til å delta i utviklingen av demokrati, samfunns- og næringsliv";"integration";"FAVOR"
"1552";"nor: Centre Party";"Følge opp forslaget fra likelønnskommisjonen om øremerkede  lønnsmidler i stat - og kommuneoppgjøret, for å utjevne lønnsgapet mellom utøvere innen helse-, omsorgs-  og utdanningsyrke og profesjonsgrupper med tilsvarende utdanningsløp.";"integration";"FAVOR"
"1553";"nor: Centre Party";"Senterpartiet vil ha en innvandrings- og integreringspolitikk som setter menneskeverd i fokus og der enkeltmennesket har klare rettigheter og plikter";"integration";"FAVOR"
"1554";"nor: Centre Party";". Alle som bor i landet skal ha sine rettigheter og muligheter ivaretatt uansett opprinnelig nasjonal bakgrunn";"integration";"FAVOR"
"1555";"nor: Centre Party";". Ethvert individ som søker asyl og opphold i Norge, skal ha trygghet for at rettsikkerheten ivaretas og at en får oppfylt sine rettigheter som individ";"immigration";"FAVOR"
"1556";"nor: Centre Party";".   Alle skal ha likeverdige muligheter og lik tilgang til å få språkopplæring, skolegang og arbeid uansett bakgrunn og ressurser";"integration";"FAVOR"
"1557";"nor: Centre Party";". Nye innbyggere må selv, ut fra egne forutsetninger, bidra med en stor innsats for å bli inkludert i samfunnslivet gjennom å lære språket, og gjennom deltakelse på viktige fellesskapsarenaer som arbeid, organisasjonsliv og utdanning";"integration";"AGAINST"
"1558";"nor: Centre Party";".   God integreringspolitikk skjer best i lokalsamfunnet";"integration";"FAVOR"
"1559";"nor: Centre Party";". Senterpartiet vil ha en innvandrings- og integreringspolitikk som lar lokal kunnskap og lokalt engasjement være bærende slik at integreringen blir reell";"integration";"FAVOR"
"1560";"nor: Centre Party";"Senterpartiet vil ha en balansert og konsekvent flyktning- og innvandringspolitikk";"immigration";"FAVOR"
"1561";"nor: Centre Party";". Menneskeverd, humanistiske tradisjoner og vårt internasjonale arbeid for å hjelpe mennesker som er forfulgt, ligger til grunn for vår politikk";"immigration";"FAVOR"
"1562";"nor: Centre Party";". Senterpartiet ønsker å videreføre hovedlinjene i den nye utlendingsloven vedtatt i 2008";"immigration";"FAVOR"
"1563";"nor: Centre Party";". Det er viktig med stabilitet i forholdet til det vedtatte lovverket og at det er en forutsigbar praksis";"immigration";"NONE"
"1564";"nor: Centre Party";". Senterpartiet ønsker en klar praksis slik at man ikke gjennom uklare signaler bidrar til økt tilstrømning av folk som ikke har grunnlag for beskyttelse, og dermed ikke får opphold";"immigration";"AGAINST"
"1565";"nor: Centre Party";". Det er en fordel for alle hvis færre føler seg tvunget til å reise på grunn av konflikt, krig og fattigdom";"immigration";"AGAINST"
"1566";"nor: Centre Party";". Det må være samsvar mellom FNs barnekonvensjon og utlendingsforvaltningen";"immigration";"FAVOR"
"1567";"nor: Centre Party";".   Utlendingsmyndighetene må organiseres på en måte som sikrer en rask og forsvarlig saksbehandling, og der den enkeltes rettssikkerhet ivaretas";"immigration";"FAVOR"
"1568";"nor: Centre Party";". Ventetida på asylmottak må gjøres kortest mulig";"immigration";"FAVOR"
"1569";"nor: Centre Party";", i tillegg til at vi mener at tida som den enkelte sitter og venter på avgjørelsen, må være fylt med innhold og være meningsfylt";"immigration";"FAVOR"
"1570";"nor: Centre Party";".  Vi må motvirke at personer oppholder seg ulovlig i Norge";"immigration";"AGAINST"
"1571";"nor: Centre Party";". For å ivareta folks alminnelige rettsoppfatning må lovverket styrkes når det gjelder å håndtere utlendinger som representerer en sikkerhetsrisiko eller utgjør en fare for samfunnet eller enkeltpersoner.";"immigration";"AGAINST"
"1572";"nor: Centre Party";"I tilfeller der utenlandske statsborgere med opphold i Norge utgjør en fare for rikets sikkerhet eller bidrar til terrorvirksomhet i inn- eller utland, kan det oppstå et motsetningsforhold mellom internasjonale forpliktelser, nasjonal lovgivning og hensynet til nasjonal sikkerhet";"immigration";"AGAINST"
"1573";"nor: Centre Party";". Det er viktig at asylinstituttets legitimitet i befolkningen ivaretas ved at det i praksis beskytter dem som har behov for beskyttelse, og ikke misbrukes for andre formål";"immigration";"AGAINST"
"1574";"nor: Centre Party";". Derfor vil vi etterstrebe å utvikle en lovgivning som ivaretar våre internasjonale forpliktelser, nasjonale bestemmelser og samtidig gir mulighet til å kunne reagere mer effektivt mot misbruk av asylinstituttet enn tilfellet er i dag";"immigration";"AGAINST"
"1575";"nor: Centre Party";"At norsk flyktning- og asylpolitikk skal bygge på våre internasjonale forpliktelser og anbefalinger fra FNs høykommissær for flyktninger.";"immigration";"FAVOR"
"1576";"nor: Centre Party";"Redusere saksbehandlingstiden i utlendingsforvaltningen, samtidig som rettssikkerheten ivaretas.";"immigration";"FAVOR"
"1577";"nor: Centre Party";"Styrke innsatsen for å håndtere utlendinger som representerer en sikkerhetsrisiko eller utgjør en fare for samfunnet eller enkeltpersoner.";"integration";"AGAINST"
"1578";"nor: Centre Party";"Innføre et tilknytningskrav for familieetablering";"integration";"AGAINST"
"1579";"nor: Centre Party";". Personer som ønsker å hente utenlandsk ektefelle må ha arbeidet eller tatt utdanning i minst fire år etter fylte 16 år.";"integration";"AGAINST"
"1580";"nor: Centre Party";". Det må gis tilbud om plass i ventemottak og minimumsstønad til livsopphold inntil slik uttransportering finner sted.";"immigration";"FAVOR"
"1581";"nor: Centre Party";"Bruke kollektiv beskyttelse og tilbakesending bare i tilfeller av massiv flukt";"immigration";"AGAINST"
"1582";"nor: Centre Party";"Øke bemanningen på mottakene slik at ventetida kan brukes til aktivitet.";"immigration";"FAVOR"
"1583";"nor: Centre Party";"Utvide kurstilbudet på mottak gjennom å oppmuntre eksterne parter til å tilby kurs og arbeidspraksis som også vil kunne komme til nytte både i Norge og hjemlandet.";"integration";"FAVOR"
