party,content,target,stance
nld: Christian Union,De gevolgen van de instroom van nieuwkomers zijn vooral merkbaar in wijken die in sociaal en economisch opzicht het meest kwetsbaar zijn.,Integration,AGAINST
nld: Christian Democratic Appeal,Integra-tie van nieuwe Nederlanders wordt het best bevorderd door kwalitatief goed onderwijs.,Integration,FAVOR
nld: People’s Party for Freedom and Democracy ,Ook kunnen sportclubs een prachtrol spelen bij de integratie.,Integration,FAVOR
nld: Democrats‘66,De kwaliteit van de zorg is een belangrijke graadmeter van onze beschaving,Immigration,FAVOR
nld: Green Left,"Veel migranten die al lang in Nederland wonen en hier hun toekomst hebben, mogen wel stemmen bij lokale verkiezingen, maar niet bij landelijke en Europese.",Immigration,FAVOR
nld: Christian Union,"Wanneer tot twee maal toe geen laissez passer wordt afgegeven, krijgen de asielzoekers uit humanitaire overwegingen een verblijfsvergunning in ons land, tenzij de asielzoekers verwijtbaar gedrag vertonen.",Immigration,NONE
nld: Christian Democratic Appeal,"1.3.2 Integratie van nieuwkomers is een weder-kerig proces tussen de samenleving die nieuwkomers welkom heet en nieuwkomers die zich de Nederlandse taal eigen maken, kennis nemen van de Nederlandse wetge-ving, cultuur en geschiedenis en hiervoor respect tonen.",Integration,FAVOR
nld: Party of Freedom,Geen verblijfsvergunning voor immigranten die tien jaar voor aanvraag verblijfsvergunning waar ook ter wereld zijnveroordeeld voor een misdrijf,Immigration,AGAINST
nld: People’s Party for Freedom and Democracy ,Dit ’rijbewijsmodel’ levert de beste garanties voor individueel maatwerk.,Integration,FAVOR
nld: Democrats‘66,Ze hebben moeite om hun eigen doelen te realiseren en kunnen hun kennis en vaardigheden niet zelfstandig verder ontwikkelen.,Integration,NONE
nld: Christian Democratic Appeal,Dat geeft duidelijkheid aan de asielzoekers,Immigration,FAVOR
nld: Labour Party,We maken schoon schip met het verleden door een generaal pardon voor asielzoekers die onder de oude Vreemdelingenwet een verblijfsvergunning hebben aangevraagd.,Immigration,FAVOR
nld: Green Left,Zij zitten gevangen in armoede of werkloosheid.,Integration,AGAINST
nld: Reformed Political Party,Daarnaast moeten er  middelen gereserveerd worden om ook oudkomers met een achterstand alsnog een inburgeringcursus te laten volgen.,Integration,FAVOR
nld: Socialist Party,"Het budget dat daadwerkelijk voor ontwikkelingssamenwerking beschikbaar is, wordt verhoogd door zaken als de eerstejaarsopvang van asielzoekers, de inzet van militairen en schuldkwijtschelding niet meer ten laste van dat budget te brengen.",Immigration,FAVOR
nld: Reformed Political Party,In de praktijk betekent dat dikwijls: illegaal verblijf in Nederland.,Immigration,AGAINST
nld: Labour Party,Die ontwikkeling wil de PvdA keren.,Integration,FAVOR
nld: Democrats‘66,D66 vindt dat Nederland zich moet inzetten voor het ontwikkelen van een Europees Asielsysteem.,Immigration,FAVOR
nld: People’s Party for Freedom and Democracy ,en dat de buitengrenzen effectief worden bewaakt.,Immigration,AGAINST
nld: People’s Party for Freedom and Democracy ,en kunnen aantonen voldoende kennis te hebben van en positief te staan tegenover de Nederlandse samenleving.,Integration,AGAINST
nld: Green Left,"38. Als na 3 jaar nog geen definitieve beslissing op een  asielverzoek is genomen, wordt een verblijfsvergunning  toegekend.",Immigration,FAVOR
nld: Socialist Party,Meer middelen worden beschikbaar gesteld voor de opvang van vluchtelingen in de regio.,Immigration,AGAINST
nld: Green Left,Te veel migranten hebben een sociaaleconomische achterstand.,Integration,AGAINST
nld: Socialist Party,"Vanaf de jaren zestig kwamen de ‘gastarbeiders’, vooral uit Marokko en Turkije.",Immigration,FAVOR
nld: Christian Union,Gezinnen van asielzoekers en vluchtelingen worden niet gescheiden.,Immigration,FAVOR
nld: Labour Party,Huwelijksmigratie blijkt nog te vaak een rem op integratie.,Integration,AGAINST
nld: Labour Party,maar terughoudend zijn bij het toelaten van mensen die gezien hun opleiding of anderszins weinig kans van slagen hebben in Nederland.,Immigration,AGAINST
nld: Reformed Political Party,Nederland spoort andere Europese landen aan om een gelijk aandeel te nemen in het hervestigingsbeleid.,Immigration,FAVOR
nld: Party of Freedom,“Geen enkele samenleving heeft een onbeperkt absorptievermogen voor nieuwkomers,Immigration,AGAINST
nld: Green Left,De verplichte inburgering in het buitenland wordt afgeschaft en de leges verlaagd.,Integration,AGAINST
nld: Party for the Animals,de overheid ziet er op toe dat dit gebeurt,Integration,FAVOR
nld: Democrats‘66,"Als na een asielprocedure blijkt dat er geen recht op bescherming bestaat, moet de overheid duidelijk zijn: de vreem deling moet terug naar zijn land van herkomst.",Immigration,AGAINST
nld: Christian Union,"Van nieuwkomers vragen we geen assimilatie, maar wel aanvaarding van de rechtsstaat.",Integration,NONE
nld: Party of Freedom,Maar we nemen ook afscheid van vreemdelingen die geen baan hebben – met het programma ‘Werken of Wegwezen’.,Immigration,AGAINST
nld: Democrats‘66,Integratie begint met participatie.,Integration,FAVOR
nld: Socialist Party,Voor hen gelden dezelfde rechten en plichten als voor iedereen.,Integration,NONE
nld: Socialist Party,Jarenlang gedwongen nietsdoen kan leiden tot stress en psychische problemen.,Integration,NONE
nld: Reformed Political Party,De Nederlandse identiteit en traditie moeten bijvoorbeeld helder aangegeven worden.,Integration,FAVOR
nld: Reformed Political Party,Integratie wordt bevorderd wanneer nieuwkomers weten waar zij aan toe zijn en wat zij in het land van aankomst kunnen verwachten.,Integration,FAVOR
nld: Christian Democratic Appeal,"Er komen verplichte duale inburgeringscur-sussen voor allochtone ouders, die kinderen opvoeden.",Integration,AGAINST
nld: Christian Union,"Migranten zijn gebaat bij forse uitbreiding van het aantal werkervaringsplaatsen c.q. stageplaatsen in het bedrijfsleven, bij de overheid en in de non-profitsector.",Integration,FAVOR
nld: Party of Freedom,Alleen de PVV komt op voor het behoud van de verzorgingsstaat en pleit daarom voor het stopzetten van de immigratie uit islamitische landen.,Immigration,AGAINST
nld: Green Left,"Vanaf 2011 wordt minstens 80  procent van de inburgeringstrajecten aangeboden via  gecombineerde trajecten, waarbij taalverwerving gekoppeld is aan werk, opleiding of participatie.",Integration,FAVOR
nld: People’s Party for Freedom and Democracy ,en trekt een zware wissel op asielvoorzieningen en de rechtelijke macht.,Immigration,AGAINST
nld: Green Left,"Hele sectoren in onze grote steden, zoals de kinderopvang en de supermarkten, draaien op het werk van migranten en hun nakomelingen.",Integration,FAVOR
nld: Socialist Party,"De asielprocedure moet snel, zorgvuldig en duidelijk zijn en ruimte geven aan asielzoekers om in alle rust hun vluchtverhaal te doen.",Immigration,FAVOR
nld: Reformed Political Party,"Overal in de wereld leidt dat tot spanningen: het Midden-Oosten voorop, maar ook in Rusland, Indonesië, in veel Afrikaanse landen, én in Europa.",Integration,AGAINST
nld: Labour Party,Illegaliteit gaat bovendien vaak gepaard met uitbuiting en criminaliteit.,Immigration,AGAINST
nld: Green Left,Nog steeds zijn er mensen die aankloppen voor asiel.,Immigration,AGAINST
nld: Christian Union,Nederland heeft de trekken van een immigratieland gekregen.,Immigration,FAVOR
nld: Party for the Animals,"De door de Staat verleende garanties aan banken gaan gepaard met een stevige verduurzamingseis, zowel qua belonings- als investeringsbeleid.",Integration,AGAINST
nld: Green Left,Foute imams kunnen radicalisering aanwakkeren.,Integration,AGAINST
nld: Christian Union,"De leefomstandigheden voor asielzoekers en vooral voor kinderen, moeten sterk worden verbeterd.",Integration,FAVOR
nld: Socialist Party,dat iedereen gelijkwaardig behandelt,Integration,FAVOR
nld: Green Left,"Als zij een goede reden hebben voor hun vlucht, moeten we hun een warm thuis bieden.",Immigration,FAVOR
nld: People’s Party for Freedom and Democracy ,De  overheid  moet  geen  valse  verwachtingen  wekken.,Immigration,AGAINST
nld: Party of Freedom,en versoberen van de gevangenissen.,Integration,AGAINST
nld: Party for the Animals,Niet al dat vlees belandt als halal of kosjer vlees in de Nederlandse of buitenlandse schappen.,Integration,NONE
nld: Green Left,"Het zijn particuliere initiatieven die volop steun verdienen, maar er is meer nodig om te garanderen dat ieder kind in Nederland dezelfde kansen op goed onderwijs krijgt.",Integration,FAVOR
nld: Democrats‘66,D66 realiseert zich dat dit beleid de sociale cohesie in ons eigen land onder druk heeft gezet.,Integration,AGAINST
nld: Green Left,"Inburgeren in het moederland is geen voorwaarde voor een verblijfsvergunning,",Integration,FAVOR
nld: People’s Party for Freedom and Democracy ,Dit geldt ook voor de uitbreiding van de EU.,Immigration,NONE
nld: Socialist Party,Cultuur draagt bij aan de eigen identiteitsbeleving en de persoonlijke expressie van mensen en kan een rol spelen bij de integratie en emancipatie van verschillende bevolkingsgroepen.,Integration,FAVOR
nld: Christian Democratic Appeal,De weg moet worden geëffend voor hun terugkeer.,Immigration,AGAINST
nld: Socialist Party,We horen er allemaal bij en zullen het hoe dan ook in de toekomst samen moeten doen.,Integration,FAVOR
nld: Green Left,Bij open markten horen ook arbeidsmigranten.,Integration,FAVOR
nld: Party of Freedom,"Er bestaat onder mohammedanen een brede steun voor de invoering van de sjaria, de jihadaanslagen van 11 september en de afkeer van Joden en het Westen.",Integration,AGAINST
nld: Socialist Party,Zij lieten later vaak ook hun vrouw en hun kinderen overkomen.,Immigration,NONE
nld: Democrats‘66,"Deze mensen hebben geen belangenbehartigers die voor hen opkomen, er zijn geen wetten die hen beschermen.",Integration,NONE
nld: Reformed Political Party,"Hoewel we niet alle moslims over één kam willen scheren, is speciale aandacht voor de islam wel degelijk gerechtvaardigd.",Integration,AGAINST
nld: Christian Union,Daarmee wordt tegemoet gekomen aan de ernstige klachten van internationale mensenrechtenorganisaties.,Immigration,FAVOR
nld: Labour Party,Er wordt zorg geboden waar noodzakelijk en in de opvang is recht op privacy.,Immigration,FAVOR
nld: Democrats‘66,Een debat dat gaat over echte problemen.,Integration,NONE
nld: Party for the Animals,De oorzaken van massale immigratie moeten aangepakt worden.,Immigration,AGAINST
nld: People’s Party for Freedom and Democracy ,"Dankzij de VVD zijn vanaf 2002 belangrijke stappen genomen om het asiel- en immigratiebeleid streng, rechtvaardig en consequent toe te passen.",Immigration,AGAINST
nld: Christian Democratic Appeal,"Het scholingsaanbod wordt geïntensiveerd en de faciliteiten die de nieuwkomers voorbereiden op dit examen en het func-tioneren in onze samenleving, worden verbeterd.",Immigration,FAVOR
nld: Socialist Party,De Europese Grondwet had tot doel dat politieke integratieproces een constitutionele basis te geven.,Integration,FAVOR
nld: Christian Union,Dit is in het bijzonder een aandachtspunt bij terugkeer naar islamitische landen.,Immigration,FAVOR
nld: Green Left,"Zij worden aan de kant gezet als ze niet meer nodig zijn, met weinig rechten op sociale zekerheid.",Integration,AGAINST
nld: Green Left,"Studenten, ook uit het buitenland, kunnen dan een keuze maken uit een groot onderwijsaanbod.",Integration,FAVOR
nld: Democrats‘66,Het is ook een prima manier om te integreren.,Integration,FAVOR
nld: Socialist Party,"Onder maatschappelijk verantwoord ondernemen valt ook het bieden van stageplaatsen aan leerlingen en studenten, van werkplekken voor gedeeltelijk arbeidsongeschikten en van banen aan afgestudeerde VMBO’ers en kinderen van migranten.",Immigration,FAVOR
nld: Socialist Party,Steeds meer migranten weten een plek in de samenleving te verwerven.,Integration,FAVOR
nld: Reformed Political Party,Het is een kwestie van behoorlijk bestuur dat asielprocedures binnen redelijke termijnen worden afgehandeld.,Immigration,FAVOR
nld: Socialist Party,"De helft van de jeugd in de grote steden is van niet-westerse allochtone afkomst, 4 op de 10 niet-westerse allochtonen zijn in Nederland geboren.",Integration,NONE
nld: Reformed Political Party,"Antisemitisme leeft breed onder moslims, waarbij de diepgewortelde Jodenhaat nog wordt aangewakkerd door radicale zenders en andere media, die er alles aan  doen om het westen, Israël in het bijzonder, te demoniseren.",Integration,AGAINST
nld: Christian Union,Teveel mensen voelen zich ontheemd in eigen land.,Integration,AGAINST
nld: People’s Party for Freedom and Democracy ,De VVD verwacht dan ook dat iedereen die de keus maakt om in Nederland te komen wonen zelf verantwoordelijkheid neemt om volwaardig mee te draaien in de samenleving.,Integration,FAVOR
nld: Christian Union,De (dreigende) radicalisering van sommige moslimjongeren vraagt om alertheid en adequaat optreden van zowel de islamitische gemeenschap zelf als de overheid.,Integration,AGAINST
nld: Christian Union,"Religieuze minderheden, waaronder in het bijzonder moslims, genieten grondwettelijke vrijheden als de godsdienstvrijheid en moeten daarom op hun beurt ruimte en respect opbrengen voor mensen met een andere godsdienst of levensovertuiging.",Integration,FAVOR
nld: Labour Party,Wij willen een sluitende aanpak: opsluiten of opvangen tot uitzetten onder voorwaarde dat dit op een humane wijze gebeurt.,Immigration,FAVOR
nld: Christian Union,Regulering betekent: toegang tot Nederland geschiedt onder voorwaarden.,Immigration,AGAINST
nld: Christian Democratic Appeal,Kinderen horen niet in vreemdelingenbewaring thuis.,Integration,FAVOR
nld: Democrats‘66,Geen welvaart zonder buitenland.,Integration,FAVOR
nld: Democrats‘66,D66 vindt dat het Nederlandse asielbeleid zich niet moet beperken tot Europese minimumnormen.,Immigration,AGAINST
nld: Green Left,"41. Als zij hun uitzetting niet tegenwerken, behouden afgewezen asielzoekers opvang totdat terugkeer daadwerkelijk is  gerealiseerd.",Immigration,AGAINST
nld: Green Left,"25. Migranten zonder verblijfsvergunning moeten veilig  aangifte kunnen doen, zonder dat hun persoonsgegevens  worden doorgeleid aan de vreemdelingenpolitie.",Immigration,FAVOR
nld: Christian Democratic Appeal,Cultuur verbindt mensen.,Integration,FAVOR
nld: Labour Party,"Bij de integratie van migranten is een grote inspanning van de migrant en de inzet van alle burgers, instanties en bedrijven vereist.",Integration,FAVOR
nld: Christian Democratic Appeal,Een groeiend aantal allochtone ondernemers geeft een impuls aan de Nederlandse economie.,Integration,FAVOR
nld: Labour Party,Bij schrijnende gevallen van mensenhandel dient een ruimhartig beleid te worden gevoerd met betrekking tot het verlenen van een verblijfsvergunning.,Immigration,FAVOR
nld: Democrats‘66,Voor D66 moet het Nederlandse asielbeleid sporen met de Europese richtlijnen.,Immigration,NONE
nld: Labour Party,Van instanties en bedrijven mag worden verwacht dat zij toegankelijkheid en kwaliteit bieden en discriminatie bestrijden.,Integration,FAVOR
nld: Green Left,"Als je allebei ten minste achttien jaar bent, mag je partner naar Nederland migreren.",Integration,FAVOR
nld: Reformed Political Party,Te veel uitgeprocedeerden vertrekken met onbekende bestemming.,Immigration,AGAINST
nld: Democrats‘66,De ruimtelijke tegenstelling tussen verschillende buurten in de steden (en tussen steden en randgemeenten) neemt toe en de integratie van met name niet-westerse allochtonen neemt af.,Integration,NONE
nld: Labour Party,Integreren kunnen nieuwkomers niet alleen.,Integration,FAVOR
nld: Labour Party,Om de informatie in de ambtsberichten te verbeteren wordt ook gebruik gemaakt van de expertise van vooraanstaande mensenrechtenorganisaties.,Immigration,FAVOR
nld: Christian Union,Zo zien we bijvoorbeeld in delen van de grote steden hoe multiculturele kerken op een inspirerende manier het christelijk geloof en de sociale samenhang hebben teruggebracht in hun wijken.,Integration,FAVOR
nld: People’s Party for Freedom and Democracy ,In ons land wonen meer dan 180 nationaliteiten.,Integration,FAVOR
nld: Green Left,Daarom verlangen we van nieuwkomers dat ze Nederlands leren.,Integration,AGAINST
nld: Socialist Party,Alle asielzoekers die in Nederland verblijven hebben recht op een humane opvang.,Immigration,FAVOR
nld: Labour Party,Succesvolle integratie wordt niet bepaald door het hebben van één paspoort.,Integration,FAVOR
nld: Party of Freedom,Hetzelfde geldt voor Wonen Wijken en Integratie en Jeugd en Gezin.,Integration,FAVOR
nld: Christian Democratic Appeal,2.1.12 Het CDA vindt het van belang dat scholen alle – dus ook allochtone – ouders bij het onderwijs betrekken.,Integration,FAVOR
nld: Christian Union,"Lessen Nederlandse taal en cultuur worden gecombineerd met een vakopleiding, vrijwilligerswerk of een betaalde baan.",Integration,AGAINST
nld: People’s Party for Freedom and Democracy ,maar moedigen iedereen die wil meedoen en op een positieve manier bijdraagt aan de samenleving juist aan.,Integration,FAVOR
nld: Christian Union,"Als Nederland voor politieke vluchtelingen geen wijkplaats is, werken wij mee aan hun onderdrukking.",Immigration,FAVOR
nld: Green Left,In de opvang van asielzoekers moet rekening worden gehouden met de kwetsbare positie van kinderen.,Immigration,FAVOR
nld: Party of Freedom,"Geen hoofddoekjes in de zorg, het onderwijs, het gemeentehuis of waar dan ook bij de overheid, en evenmin bij welke gesubsidieerde organisatie dan ook",Integration,AGAINST
nld: Christian Union,Een effectief terugkeerbeleid is van groot belang.,Immigration,AGAINST
nld: Party of Freedom,"Verbod op koranlessen op school, evenals in gebouwen die door schoolbesturen worden beheerd, dus ook geen koranlessen ‘na schooltijd’ of in het gebouw van de school",Integration,AGAINST
nld: Green Left,Veilige terugkeer van uitgeprocedeerde asielzoekers wordt afgedwongen door met herkomstlanden terugkeer overeenkomsten af te sluiten.,Immigration,AGAINST
nld: Christian Democratic Appeal,Samenleven met al die verschillen kan echter alleen als we vertrouwen in elkaar hebben.,Integration,FAVOR
nld: Socialist Party,"Discriminatie op basis van geslacht, etniciteit, religie, seksuele geaardheid en handicap wordt stevig aangepakt.",Integration,FAVOR
nld: Labour Party,Geen enkele samenleving heeft een onbeperkt absorptievermogen voor nieuwkomers en een oneindige capaciteit om achterstanden te bestrijden en mensen te emanciperen.,Immigration,AGAINST
nld: Christian Union,Dat leidt er toe dat de leerlingen op ‘zwarte scholen’ in Nederland veel sneller hun achterstanden inhalen dan de leerlingen op de ‘zwarte scholen’ in Amerika.,Integration,FAVOR
nld: Party of Freedom,Immigranten moeten 10 jaar in Nederland hebben gewoond en gewerkt alvorens aanspraak te kunnen maken op de voorzieningen van de verzorgingsstaat.,Integration,AGAINST
nld: Party of Freedom,Geen ‘positieve’ discriminatie,Integration,AGAINST
nld: Green Left,Religie is voor veel mensen zingevend en bezielend.,Integration,FAVOR
nld: Labour Party,"Selectief en mogelijkheden scheppend daar waar migranten een bijdrage kunnen leveren aan de economische, wetenschappelijke en culturele ontwikkeling van Nederland.",Integration,FAVOR
nld: Labour Party,"De PvdA wil dat de EU een gemeenschappelijk energiebeleid voert, waarbij verduurzaming hand in hand gaat met het verminderen van de afhankelijkheid van een beperkt aantal (instabiele) energieleveranciers.",Immigration,AGAINST
nld: Democrats‘66,En dat er een Europese minister voor Buitenlandse Zaken wordt benoemd.,Immigration,NONE
nld: Christian Union,Alleen dan kunnen burgers in deze samenleving met en voor elkaar verantwoordelijkheid dragen en nemen.,Integration,FAVOR
nld: Party for the Animals,Daarnaast biedt Nederland eigenstandig hulp bij het organiseren van de opvang van vluchtelingen in eigen regio.,Immigration,FAVOR
nld: Reformed Political Party,"Inburgeraars moeten in ieder geval op de hoogte zijn van Nederlandse symbolen en rituelen als het Wilhelmus, de Nederlandse vlag en Koninginnedag.",Integration,AGAINST
nld: Christian Union,Deze rechten worden ook onderhouden in de samenleving.,Integration,FAVOR
nld: Christian Union,"De samenleving fragmentariseert, en het lijkt er ook nog eens op dat al die minderheden elkaar steeds minder kunnen vinden.",Integration,FAVOR
nld: Party of Freedom,Einde contract is einde verblijf.,Immigration,AGAINST
nld: Christian Union,Het is onterecht en zelfs beledigend voor de scholen die het betreft om te suggereren dat een identiteitsgebonden school selecteert op kleur of etniciteit.,Integration,FAVOR
nld: Christian Union,"Wie strategisch kiest, kijkt óók naar morgen.",Integration,FAVOR
nld: Christian Union,"Vreemdelingenbeleid en integratiebeleid werden ‘streng en rechtvaardig’, maar in de toepassing ging te vaak de menselijkheid verloren.",Immigration,AGAINST
nld: Green Left,Betere Europese afspraken moeten de naleving van het VN-Vluchtelingenverdrag waarborgen.,Immigration,FAVOR
nld: Reformed Political Party,"Daarom kun je je niet in de publieke ruimte begeven zonder je geloof, levensovertuiging en de daarop gebaseerde opvattingen mee te nemen.",Integration,FAVOR
nld: Christian Union,Vluchtelingen worden in staat gesteld zo spoedig mogelijk met hun gezinsleden te herenigen.,Immigration,FAVOR
nld: Reformed Political Party,"Gebeuren er op islamitische scholen of in moskeeën dingen die niet door de beugel kunnen (zoals het zaaien van haat of het verheerlijken van geweld), dan moeten die scholen en moskeeën gesloten worden.",Integration,AGAINST
nld: Christian Democratic Appeal,"Wanneer dat niet gebeurt, leidt dat tot alternatieve samenlevingen met eigen waarden en normen.",Integration,AGAINST
nld: Green Left,"Nieuwkomers dienen de Nederlandse taal te leren, in te burgeren, naar school te gaan en te werken.",Integration,AGAINST
nld: Christian Union,Iedereen heeft de vrijheid om ook in het publieke domein zijn hart te laten spreken.,Integration,FAVOR
nld: Labour Party,"De PvdA streeft naar een ongedeeld Nederland, waar de plek waar je geboortehuis staat niets zegt over je toekomst.",Integration,FAVOR
nld: People’s Party for Freedom and Democracy ,"De samenleving heeft de energie en ervaring van nieuwkomers, vrouwen en de oudere generatie hard nodig.",Integration,FAVOR
nld: Christian Democratic Appeal,"Van iedereen mag naar vermogen gevraagd worden dat zij zelfredzaam zijn, betrokkenheid bij de samenleving tonen en de gelijkwaardigheid van iedereen erkennen.",Integration,FAVOR
nld: Christian Democratic Appeal,De problemen rond integratie stellen dat vertrouwen op de proef.,Integration,AGAINST
nld: Christian Union,"Hierop wordt slechts een uitzondering gemaakt indien dit onevenredig zware gevolgen heeft voor betrokkenen, waarbij onder meer te denken is aan de omstandigheid dat het land van herkomst het opgeven van de oorspronkelijke nationaliteit niet erkent.",Integration,AGAINST
nld: Green Left,De polarisatie rond migranten en moslims zet de vrijzinnigheid onder druk.,Integration,AGAINST
nld: Christian Union,Voor de toekomst van ons land is iedereen even belangrijk en telt iedereen mee.,Integration,FAVOR
nld: Democrats‘66,Dit betekent dat zoveel mogelijk moet worden voorkomen dat asielzoekers in detentie geplaatst worden.,Immigration,FAVOR
nld: Labour Party,"Inburgering is een onmisbare eerste stap: op de werkvloer, in de buurt, op school.",Integration,FAVOR
nld: People’s Party for Freedom and Democracy ,Naast arbeidsparticipatie en onderwijs draagt ook het tegengaan van criminaliteit bij aan goede integratie.,Integration,FAVOR
nld: Democrats‘66,Stoppen met dure en ineffectieve re-integratietrajecten,Integration,AGAINST
nld: Green Left,"33. Het asielbeleid waarborgt de rechten van asielzoekers,  waaronder een eerlijke procedure, fatsoenlijke opvang en   – als een asielverzoek wordt afgewezen – veilige terugkeer.",Immigration,FAVOR
nld: Christian Union,"Gemeenten hebben de plicht mensen die door toedoen van de Dienst Terugkeer & Vertrek (DT&V) als illegaal op straat worden gezet, in een noodopvang te plaatsen.",Integration,NONE
nld: Democrats‘66,Het heeft vele vluchtelingen en immigranten onnodig hard getroffen en groot persoonlijk leed teweeg gebracht.,Integration,AGAINST
nld: Socialist Party,"We stellen bedrijven verantwoordelijk voor huisvesting, taallessen en opleiding van arbeidsmigranten.",Integration,FAVOR
nld: Christian Union,Het onderlinge vertrouwen moet nu verder groeien en ons land is daarom nu niet gebaat bij grootschalige immigratie.,Immigration,AGAINST
nld: People’s Party for Freedom and Democracy ,Problemen rondom integratie en immigratie verdwijnen niet vanzelf.,Immigration,AGAINST
nld: People’s Party for Freedom and Democracy ,de Nederlandse taal in woord en geschrift beheersen,Immigration,AGAINST
nld: Socialist Party,De discussie over de integratie kwam daardoor in handen van rechtse partijen.,Integration,NONE
nld: Democrats‘66,"Asielzoekers mogen, in afwachting van de uitkomst van hun asielprocedure, niet langer dan vier weken aan de grens gedetineerd worden.",Immigration,AGAINST
nld: Christian Union,"Vreemdelingen die al langdurig in Nederland verblijven, geen strafblad hebben en waarvan terugkeer redelijkerwijs niet meer te vragen is, komen in aanmerking voor een pardon.",Integration,FAVOR
nld: Socialist Party,"Slachtoffers van mensenhandel worden vaak ten onrechte behandeld als ongewenste illegalen, en niet als slachtoffers van een ernstig misdrijf.",Immigration,AGAINST
nld: Democrats‘66,De nadruk moet hierbij komen te liggen op een eerlijke verdeling van asielzoekers over de lidstaten.,Immigration,FAVOR
nld: Labour Party,Mensen zonder verblijfstitel kunnen geen aanspraak maken op verblijf in Nederland.,Immigration,AGAINST
nld: Christian Democratic Appeal,Overheid en samenle-ving bieden plaats aan geloofsgemeenschap-pen voor zover zij de kernwaarden van onze rechtsstaat respecteren.,Integration,FAVOR
nld: Democrats‘66,"Het beleid moet rekening houden met grote onderlinge verschillen tussen en binnen de diverse etnische groepen, met name ook tussen de eerste en de tweede generatie.",Integration,FAVOR
nld: People’s Party for Freedom and Democracy ,Daarvoor is het onder meer nodig dat de procedures van de Immigratie- en Naturalisatiedienst (IND) voor buitenlandse bedrijven eenvoudiger worden.,Immigration,FAVOR
nld: Christian Democratic Appeal,Alle imams in Nederland moeten zich hebben geschoold in Nederlandse waarden en normen.,Immigration,AGAINST
nld: Socialist Party,"In internationale verdragen is vastgelegd dat vluchtelingen recht hebben op bescherming tegen vervol-ging, terreur of oorlog.",Immigration,FAVOR
nld: Party of Freedom,Op veel plekken zien we dat de islam zeggenschap aan het verwerven is over territorium.,Integration,AGAINST
nld: Socialist Party,De behandeling van asielzoekers heeft geleid tot terechte internationale kritiek.,Immigration,AGAINST
nld: Democrats‘66,Het is ook nodig om grenzen te stellen en daar volstrekt duidelijk over te zijn.,Integration,AGAINST
nld: Christian Democratic Appeal,"Indien na het verstrijken van de wettelijke vertrek-termijn nog geen vervangend reisdocument is ontvangen, wordt de opvang voortgezet zolang de betrokken vreemdeling kan aantonen dat hij activiteiten onderneemt om te voldoen aan de voorwaarden van de ambassade om zijn identiteit en/of nationaliteit aannemelijk te maken.",Immigration,NONE
nld: Christian Democratic Appeal,Wel staat het draagvlak voor de toelating van vreemdelingen in Nederland onder druk.,Immigration,NONE
nld: People’s Party for Freedom and Democracy ,Onnodige of verouderde afspraken of regels moeten daarom worden herzien.,Immigration,NONE
nld: Christian Union,"In Nederland gevestigde instellingen en organisaties, zoals moskeeën, scholen, stichtingen, verenigingen, etc.mogen ter bevordering van een vreedzame integratie alleen geld uit het buitenland aanvaarden als dit geld afkomstig is uit een land met democratische vrijheden.",Integration,AGAINST
nld: Green Left,"en voor een aanpassing van  de Dublinverordening, waardoor asielverzoeken eerlijker  worden verdeeld over de EU-landen.",Immigration,FAVOR
nld: Christian Democratic Appeal,2.3.9 Terugkeer vormt een integraal onderdeel van het asiel- en migratiebeleid.,Immigration,AGAINST
nld: Christian Union,De overheid biedt asielzoekers in procedure in Nederland opvang aan.,Immigration,FAVOR
nld: Christian Union,Asielzoekers behoren zo snel mogelijk te weten waar zij aan toe zijn.,Immigration,FAVOR
nld: Reformed Political Party,Alleen zo kan er ook weer plaats komen voor weer ánderen die in nood verkeren.,Immigration,FAVOR
nld: Party of Freedom,Zij zijn de Nederlandse samenleving niet waard gebleken.,Immigration,AGAINST
nld: Reformed Political Party,"Uitingen als antisemitisme, racisme en ontkenning van volkerenmoord worden streng bestraft.",Integration,NONE
nld: Green Left,Voor velen zit de arbeidsmarkt op slot.,Integration,NONE
nld: Democrats‘66,"D66 wil meer financiële middelen om tegen de afnemende integratie en toenemende segregatie in te gaan,",Integration,AGAINST
nld: Christian Democratic Appeal,Gescheiden inburgeringscursussen krijgen geen publieke financiering.,Integration,AGAINST
nld: Green Left,Emancipatie van nieuwkomers is de sleutel tot hun integratie in de samenleving.,Integration,AGAINST
nld: Green Left,Het is funest om mensen uit minderheden die hun eigen weg gaan steeds weer aan te spreken op hun afkomst.,Integration,FAVOR
nld: Green Left,44. Overheden nemen hun verantwoordelijkheid voor noodopvang van asielzoekers die in fysieke en/of psychische nood  verkeren.,Integration,FAVOR
nld: Reformed Political Party,- Het probleem van de ‘zwarte scholen’ kan het best en het meest effectief worden bestreden door te werken aan een evenwichtiger samenstelling van de bevolking  in de wijken.,Integration,FAVOR
nld: Christian Union,"Het is van belang dat wij de diversiteit in de samenleving erkennen, dat wij de dialoog en ontmoeting bevorderen en dat hierover ook op scholen en tijdens inburgeringscursussen voorlichting wordt gegeven.",Integration,FAVOR
nld: Socialist Party,In Nederland hebben zij altijd recht op een humane opvang.,Immigration,FAVOR
