party,content,target,stance
nor: Progress Party,"Fremskrittspartiet vil fremheve at alle men-nesker er født frie og likeverdige og skal ha  like rettigheter, uavhengig av rase, kjønn,  språk, religion, etnisk opprinnelse eller personlige oppfatninger.",Integration,FAVOR
nor: Progress Party,Det er for lett å mis-bruke dette instituttet i Norge.,Immigration,AGAINST
nor: Progress Party,"ha r    espekt for kirkerommet, men ikke akseptere kirkeasyl",Immigration,AGAINST
nor: Conservative Party,åpne for å øke antall kvoteflyktninger hvis situasjonen tilsier det.,Immigration,FAVOR
nor: Conservative Party,"g i bedre oppfølging av psykisk syke asylsøkere, både i søknadsperioden og ved bosetting.",Immigration,FAVOR
nor: Socialist Left Party,SV ønsker å sikre kvinners rett til å få innvilget asyl med bakgrunn i kjønnsbasert forfølgelse i hjemlandet.,Immigration,FAVOR
nor: Christian People’s Party,Det må gis et verdig oppholdstilbud under søknadsperioden gjennom blant annet mer aktivisering av beboere i asylmottak ved blant annet å åpne for bruk av sivile vernepliktige som aktivtører,Immigration,FAVOR
nor: Norwegian Labour Party,Vi skal også klart og tydelig formidle at vi forventer og forlanger aktivt medspill og aksept for norske lover og samfunnets demokratiske grunnverdier.,Integration,AGAINST
nor: Centre Party,"dekke utgifter til flyktningerxe \""flyktninger\"" i Norge utenfor bistandsbudsjettet.",Immigration,NONE
nor: Socialist Left Party,. SV vil arbeide for at språkkompetansen økes gjennom tilrettelagt norskopplæring og morsmålsopplæring.,Integration,FAVOR
nor: Socialist Left Party,"Både på grunn av hudfarge, etnisk bakgrunn, religion eller kultur – og fordi de er kvinner.",Integration,FAVOR
nor: Progress Party,"11.At tilfredsstillende kunnskaper i  norsk språk og samfunnsforståelse  samt avleggelse av troskapsløfte til  Norge, settes som vilkår for å oppnå  norsk statsborgerskap.",Integration,AGAINST
nor: Liberal Party,"For Venstre er det ikke akseptabelt at over 90 % av alle klagesaker ikke forelegges nemndmedlemmene,",Immigration,FAVOR
nor: Liberal Party,Samtidig vet vi at Norge ikke vil kunne opprettholde dagens vekst og verdiskaping innen kort tid med dagens fødselsrater.,Immigration,AGAINST
nor: Liberal Party,En god integreringspolitikk må ha som utgangspunkt en grunnleggende respekt for andre kulturer og verdisett.,Integration,FAVOR
nor: Christian People’s Party,"føre et kontinuerlig holdningsarbeid mot skjult diskriminering av seniorer, funksjonshemmede og innvandrere i arbeidslivet, i samarbeid med ressursmiljøer.",Integration,FAVOR
nor: Progress Party,at innv    andrere og asylsøkere som kommer fra områder med stor sykdomsrisiko gjennomgår en obligatorisk helsetest,Immigration,AGAINST
nor: Liberal Party,Det bør åpnes for å gi fremmedspråklige lærerstudenter dispensasjon fra kravet om å tilegne seg kunnskap i sidemålet.,Integration,FAVOR
nor: Liberal Party,Gi ureturnerbare og langsiktige asylsøkere rett til norskopp-læring.,Immigration,FAVOR
nor: Liberal Party,"Konkurransen om arbeidskraft vil øke, og Norge må delta i denne konkurransen",Immigration,FAVOR
nor: Socialist Left Party,". SV mener det må satses sterkere på konkrete tiltak for å bekjempe mobbing, rasisme og diskriminering på grunnlag av kjønn, seksuell orientering og religion",Integration,FAVOR
nor: Liberal Party,Norge har flere ganger blitt kritisert av FNs høykommissær for  flyktninger (UNHCR) for at vi ikke følger deres anbefalinger,Immigration,AGAINST
nor: Christian People’s Party,"jobbe for at det blir nulltoleranse mot diskriminering og trakassering uansett kjønn, etnisk bakgrunn, livssyn, seksuell orientering og nedsatt funksjonsevne.",Integration,FAVOR
nor: Norwegian Labour Party,. Samtidig kan ikke Norge ta imot alle som ønsker å komme hit,Immigration,AGAINST
nor: Conservative Party,Forsterket norskopplæring skal gi minoritetsspråklige elever tilstrekkelige kunnskaper og ferdigheter til å kunne følge den vanlige opplæringen i skolen.,Integration,FAVOR
nor: Liberal Party,At asylsøkere må gis mulighet til å arbeide mens søknaden  behandles.,Integration,FAVOR
nor: Christian People’s Party,.  Retten til liv er den mest grunnleggende menneskeretten,Integration,FAVOR
nor: Socialist Left Party,Det offentlige må også øke sin flerkulturelle kompetanse.,Integration,FAVOR
nor: Centre Party,"og sammen med sekulariseringen har dette ført til et større mangfold også når det gjelder tro og livssynxe \""livssyn\"".",Integration,FAVOR
nor: Christian People’s Party,"Stater og områder uten myndigheter til å ivareta lov og orden gir muligheter for utvikling av terrorisme og organisert kriminalitet innenfor narkotika, våpen og menneskehandel.",Immigration,NONE
nor: Liberal Party,En del av løsningen er å tvangsreturnere flere som har fått avslag på sin søknad,Immigration,AGAINST
nor: Liberal Party,Tvangsreturnere hurtigere etter endelig avslag.,Immigration,AGAINST
nor: Liberal Party,"Venstre vil ha en integreringspolitikk som ikke bare omfatter gode offentlige tilbud,",Integration,FAVOR
nor: Socialist Left Party,"Mange barn og ungdommer med minoritetsbakgrunn har problemer på skolen, blant annet fordi de ikke kan godt nok norsk.",Integration,AGAINST
nor: Centre Party,". Gjennom frivillig arbeid og engasjement skapes bånd mellom både nordmenn og innvandrere, gjennom kunnskap om hverandre og gjennom aktiv deltagelse i lokalsamfunnet",Integration,FAVOR
nor: Progress Party,"Det må også stilles krav om minimum 10 års  botid, regnet fra tidspunktet for innvilgelse  av søknad om oppholdstillatelse.",Integration,AGAINST
nor: Socialist Left Party,"SV vil at barn og unge skal ha omgivelser som er tilrettelagt for idrett, lek og friluftsliv uavhengig av sosial tilhørighet, kulturell bakgrunn og geografisk bosetting.",Integration,FAVOR
nor: Progress Party,integreringspolitiske hensyn bør legges til grunn ved eventuell utvelgelse av kvoteflyktninger,Integration,FAVOR
nor: Norwegian Labour Party,styrke oppfølgingen av avtalen om inkluderende arbeidsliv (IAavtalen),Integration,FAVOR
nor: Liberal Party,De siste årene har menneskehandel økt.,Immigration,AGAINST
nor: Socialist Left Party,". SV vil kjempe for  at inkludering, ikke frykt, skal ligge til grunn for hvordan etniske og religiøse minoriteter behandles i Norge",Integration,FAVOR
nor: Liberal Party,"På denne bakgrunn bør dagens KRL-fag omgjøres til et felles livssyn-, etikk-, og verdifag (LEV) som gir kunnskap om og innsikt i kristendommen og andre religioner,",Integration,FAVOR
nor: Conservative Party,redusere det statlige eierskapet i norsk næringsliv betydelig.,Immigration,AGAINST
nor: Centre Party,"at rasisme skal bekjempes og slås hardt ned på, både i skolen og ellers i hverdagen.",Integration,FAVOR
nor: Liberal Party,"For å kunne informere om deres ret-tigheter, kunne ta mot anmeldelser, og etterforske forbrytelser, må der-for politiet, barnevern og skolevesen utvide sin kulturelle kompetanse, spesielt i områder med mange innvandrere.",Integration,FAVOR
nor: Norwegian Labour Party,Begge folk har den samme rett og de samme krav til å utvikle sin kultur og sitt språk.,Integration,FAVOR
nor: Liberal Party,Tilby norskopplæring til asylsøkere og andre innvandrere som  har krav på undervisning umiddelbart etter ankomst til Norge.,Immigration,FAVOR
nor: Conservative Party,Høyre vil underbygge mangfoldet og arbeide for like muligheter for alle.,Integration,FAVOR
nor: Christian People’s Party,Det må bli lettere å få oppholdstillatelse for barn som har levd lenge i Norge.,Integration,FAVOR
nor: Liberal Party,Gi kulturarbeidere lettere adgang til visum.,Integration,FAVOR
nor: Centre Party,"Millioner av mennesker er på flukt fra krig, naturkatastrofer, forfølgelse og sult.",Immigration,NONE
nor: Norwegian Labour Party,Samfunnet er mer mangfoldig på trosog livssynsområdet i dag enn tidligere,Integration,FAVOR
nor: Socialist Left Party,"trygge helse– og omsorgstilbud,",Integration,FAVOR
nor: Socialist Left Party,"Det må derfor være rom for forskjell i levemåter, religioner og kultur.",Integration,FAVOR
nor: Christian People’s Party,Asylpolitikken må være konsekvent og rettferdig.,Immigration,FAVOR
nor: Norwegian Labour Party,Krav om etisk ansvarlighet og anstendighet gjelder også for næringsliv og offentlige virksomheter,Integration,FAVOR
nor: Centre Party,"Redusere saksbehandlingstiden i utlendingsforvaltningen, samtidig som rettssikkerheten ivaretas.",Immigration,FAVOR
nor: Norwegian Labour Party,"Et så tett og omfattende samarbeid mellom et stort, muslimsk land og et stort antall land med kristen kulturbakgrunn, vil kunne være et viktig brobyggende bidrag til fred, stabilitet og demokrati i regionen, samt dialog mellom kulturer og religioner.",Integration,FAVOR
nor: Centre Party,"Grunnlaget for oppblomstring av terrorismexe \""terrorisme\"" vil styrkes.",Immigration,AGAINST
nor: Progress Party,". arbeidstakere med utenlandsk statsborgerskap må ha rett og plikt til opptjening av pensjonspoeng under folketrygden, og rett til helsetjenester",Integration,FAVOR
nor: Christian People’s Party,"Arbeidet med inkludering av innvandrere må være mer målrettet,",Integration,FAVOR
nor: Progress Party,Skolegang på norsk skole  er grunnleggende for god integrering.,Integration,FAVOR
nor: Christian People’s Party,"Norsk politikk overfor flyktninger, asylsøkere og arbeidssøkere må bygge på toleranse, ikke-diskriminering, likeverdighet og rettferdighet.",Immigration,FAVOR
nor: Progress Party,I dag opplever mange kommuner at integrerings-tilskuddet ikke dekker de faktiske kostnadene  ved mottak og integrering av flyktninger.,Integration,NONE
nor: Christian People’s Party,"Diskrimineringen blir spesielt synlig på arbeidsmarkedet, som er en viktig arena for å bli akseptert i samfunnet.",Integration,FAVOR
nor: Socialist Left Party,er derfor en viktig del av kampen for et rettferdig flerkulturelt samfunn.,Integration,FAVOR
nor: Christian People’s Party,.  Asylinstituttet må respekteres.,Immigration,FAVOR
nor: Christian People’s Party,samordne og effektivisere godkjennings-myndighetene for utenlandsk utdanning og realkompetanse.,Integration,FAVOR
nor: Socialist Left Party,"SV vil derfor påse at Kulturloven følges opp med konkrete tiltak, slik at alle innbyggere i Norge faktisk sikres adgang til kunst og kulturopplevelser gjennom fysisk tilrettelegging, rimelige priser og fleksible åpningstider, uavhengig av inntekt, bosted, funksjonsevne, alder eller etnisk bakgrunn.",Integration,FAVOR
nor: Liberal Party,"Yrkesaktive som kommer til landet og får ansettelse, skal følge norske regler og lønnsnivå.",Immigration,AGAINST
nor: Progress Party,Fremskrittspartiet er imidlertid  skeptisk til at barn med spesielle lære-vansker nødvendigvis skal integreres i den  ordinære skolen og konstaterer at inklude-ringen i norsk skole har gått for langt og  medvirket til en reduksjon av læringsresul-tatene.,Integration,AGAINST
nor: Socialist Left Party,"De landene som tar imot flest flyktninger, er fattige naboland.",Immigration,NONE
nor: Socialist Left Party,Mange kvinner med minoritetsbakgrunn har store problemer med å få arbeid.,Integration,FAVOR
nor: Liberal Party,og da er det viktig å sørge for at disse er tilstrekkelig kvaliﬁsert i forhold til norsk språk og lovgivning.,Integration,FAVOR
nor: Socialist Left Party,SV vil føre en liberal kulturpolitikk.,Integration,FAVOR
nor: Norwegian Labour Party,I dag er det sammensatt av samfunnsborgere med bakgrunn fra flere kulturer enn tidligere.,Integration,FAVOR
nor: Progress Party,Med flyktninger forstår vi personer  som tilfredsstiller de krav som FNs flyktningekonvensjon stiller for å gi rett til  opphold i Norge.,Immigration,FAVOR
nor: Christian People’s Party,i tillegg til at dette må forfølges strafferettslig.,Integration,AGAINST
nor: Liberal Party,Venstre vil at alle asylsøkere i mottakene skal få norsk- og samfunnsfagopplæring.,Immigration,FAVOR
nor: Socialist Left Party,. Kvalifiserte arbeidssøkere blir ikke kalt inn til intervju og mange er i praksis utestengt fra arbeidsmarkedet,Integration,FAVOR
nor: Socialist Left Party,SV støtter også tiltak som kan begrense at mennesker uten krav på beskyttelse kommer til Norge for å søke asyl.,Immigration,AGAINST
nor: Socialist Left Party,"En god offentlig skole hvor alle elever med ulik bakgrunn møtes som likeverdige, er det viktigste bidraget til et framtidig inkluderende samfunn.",Integration,FAVOR
nor: Progress Party,Myndighetene må bruke  tiltak overfor innvandrerforeldre som ikke lar  sine barn få anledning til å bruke retten til  grunnskoleopplæring på norsk skole og vil  utvide rammene for bruk av slike reaksjoner.,Integration,AGAINST
nor: Norwegian Labour Party,", og skal informeres om sine rettigheter.",Immigration,FAVOR
nor: Liberal Party,"Arbeidssøkere skal avvises i asylkøen, og heller få en mulighet til å arbeidsinnvandre.",Immigration,AGAINST
nor: Socialist Left Party,. Og SV vil ha en human og solidarisk flyktning– og asylpolitikk som tar mer ansvar for de mange i verden som trenger beskyttelse.,Immigration,FAVOR
nor: Liberal Party,Samfunnet må på sin side sørge for at nye innbyggere møtes med tilstrekkelig informasjon og gis redskaper til å forstå og leve i norsk kultur.,Integration,FAVOR
nor: Conservative Party,"det viktigste er å hjelpe mennesker på flukt og ha en streng, men rettferdig og human flyktning- og asylpolitikk.",Immigration,FAVOR
nor: Centre Party,Utvide kurstilbudet på mottak gjennom å oppmuntre eksterne parter til å tilby kurs og arbeidspraksis som også vil kunne komme til nytte både i Norge og hjemlandet.,Integration,FAVOR
nor: Progress Party,"innfør    e en aktiv integreringspolitikk som bygger på de reglene,  normene og verdiene som skal være felles for hele befolkningen, ogsom må gå foran hensynet til enkeltgrupper",Integration,FAVOR
nor: Norwegian Labour Party,"Arbeiderpartiet er positiv til den nye arbeidskraftinnvandringen som kommer som en følge av EU-utvidelsen, og mener at de må bys de samme lønns- og arbeidsvilkår som norske arbeidere.",Immigration,FAVOR
nor: Norwegian Labour Party,". God integrering dreier seg om å skape flest mulig møteplasser på tvers av etnisitet, kjønn, funksjonsevne og sosial bakgrunn",Integration,FAVOR
nor: Norwegian Labour Party,Vi har et stort ansvar for å beskytte og å bistå ofre for menneskehandel som befinner seg i Norge,Immigration,FAVOR
nor: Norwegian Labour Party,. For oss er det viktig at alle som bor permanent i Norge lærer seg norsk.,Integration,AGAINST
nor: Liberal Party,Venstre ønsker heller ikke segregering der minoriteter setter seg utenfor integreringen i samfunnet.,Integration,AGAINST
nor: Christian People’s Party,"En vellykket integrering bygger på respekt for ulike kulturer, livssyn og holdninger.",Integration,FAVOR
nor: Conservative Party,ha en tett oppfølging av regelverksutviklingen på utlendingsområdet.,Immigration,AGAINST
nor: Liberal Party,Innføre en ordning som i spesielle tilfeller gir ambassader og  konsulat mulighet til å gi mennesker på flukt asyl.,Immigration,FAVOR
nor: Norwegian Labour Party,forbedre vilkårene for enslige flyktningbarn som kommer til Norge.,Integration,FAVOR
nor: Christian People’s Party,Personen kalles asylsøker inntil søknaden er avgjort.,Immigration,NONE
nor: Socialist Left Party,og traffickingofrenes sikkerhet og rettssikkerhet må ivaretas.,Immigration,FAVOR
nor: Christian People’s Party,Alle mennesker i Midt-Østen har samme grunnleggende verdi og rettigheter.,Integration,FAVOR
nor: Progress Party,Kampen mot kriminelle innvandrere må skjerpes,Integration,AGAINST
nor: Centre Party,øke rekrutteringen av innvandrere til offentlig sektor.,Integration,FAVOR
nor: Progress Party,10.At innvandrere og asylsøkere som  kommer fra områder med stor syk-domsrisiko gjennomgår en obliga-torisk helsetest.,Immigration,AGAINST
nor: Liberal Party,Venstre vil at Norge skal utvide ordningen med fristed for forfulgte forfattere.,Immigration,FAVOR
nor: Christian People’s Party,styrke støtteapparatet rundt flyktninger og asylsøkere for å sikre dem hensiktsmessig hjelp gjennom blant annet tilbud om psykiatrisk vurdering for å kartlegge eventuelle behov for videre hjelp.,Immigration,FAVOR
nor: Progress Party,"Faren for uroligheter i Europa knyttet til etniske og  religiøse konflikter, samt uenighet om grenser, tilsier at konflikter lett kan oppstå  og at situasjonen kan komme ut av kontroll.",Immigration,AGAINST
nor: Socialist Left Party,"Vi ønsker å bedre rekrutteringen av kunstnere med minoritetsbakgrunn til blant annet de nasjonale kulturinstitusjonene, og er positive til kvoteringsordninger for å nå dette målet.",Integration,FAVOR
nor: Progress Party,fjerne kvoteringsregelen,Integration,FAVOR
nor: Progress Party,"Personer som får oppholdstillatelse som et ledd i familie-gjenforening eller på humanitært grunnlag,  er etter Fremskrittspartiets oppfatning ikke  flyktninger, men innvandrere.",Immigration,FAVOR
nor: Centre Party,likestille tredelt turnus i helse- og omsorgssektoren med tilsvarende skiftarbeid i industrien.,Integration,FAVOR
nor: Christian People’s Party,"Skolens arbeid står i et livslangt læringsperspektiv, hvor også skapende aktivitet, kreativ utfoldelse og sosial, kulturell og etisk kompetanse er viktige ingredienser.",Integration,FAVOR
nor: Socialist Left Party,"SV er opptatt av at vi må ha en human flyktning- og asylpolitikk, i tråd med de forpliktelsene Norge har påtatt seg gjennom internasjonalt lovverk og konvensjoner.",Immigration,FAVOR
nor: Centre Party,Ha gratis kjernetid for alle femåringer i barnehager i områder med stor minoritetsandel i befolkningen.,Integration,FAVOR
nor: Norwegian Labour Party,"sikre kommunene tilstrekkelig med ressurser til å gi undervisning i samisk og nasjonale minoritetsspråk, og legge til rette for tospråklighet",Integration,FAVOR
nor: Progress Party,det er kommunen selv som skal bestemme om den er klar til å ta imot flyktninger,Immigration,AGAINST
nor: Liberal Party,Derfor må en sette i verk tiltak rettet mot disse gruppene.,Integration,FAVOR
nor: Christian People’s Party,En aktiv deltakelse i integreringsprosessen vil redusere skeptiske holdninger i den norske befolkningen.,Integration,FAVOR
nor: Christian People’s Party,Samtidig har en del av befolkningen i dag en annen religiøs og kulturell bakgrunn.,Integration,FAVOR
nor: Norwegian Labour Party,"satse på særskilt oppfølging av utsatte grupper på arbeidsmarkedet, herunder langtidsledige, personer med nedsatt funksjonsevne og innvandrerkvinner",Integration,FAVOR
nor: Liberal Party,Å sette seg i stand til å delta er en grunnleggende plikt.,Integration,FAVOR
nor: Progress Party,"15.Ha en aktiv integreringspolitikk som  bygger på at de reglene, normene  og verdiene som skal være felles for  hele befolkningen, må gå foran hensynet til enkeltgrupper.",Integration,AGAINST
nor: Centre Party,"Gjøre det mer attraktivt for organisasjoner, lag og foreninger å engasjere seg i integreringsspørsmål lokalt.",Integration,FAVOR
nor: Socialist Left Party,. SV kjemper for ikke-diskriminering,Integration,FAVOR
nor: Christian People’s Party,arbeide for å styrke vernet mot etnisk diskriminering.,Integration,FAVOR
nor: Norwegian Labour Party,". Arbeiderpartiet er opptatt av at disse gruppene får videreutvikle sin identitet, kulturhistorie og sitt språk i Norge.",Integration,FAVOR
nor: Progress Party,", og asylsøkere skal sitte i lukkede asylmottak i påvente av ferdigbehandlet søknad",Immigration,AGAINST
nor: Centre Party,Senterpartiet mener at fast arbeid skal være hovedregelen.,Integration,FAVOR
nor: Christian People’s Party,"ha separate valg til menighetsråd i Den norske kirke, og ikke koble disse til politiske valg.",Integration,NONE
nor: Liberal Party,Styrke Det flerspråklige bibliotek og flerkulturelle bibliotekprosjekter.,Integration,FAVOR
nor: Progress Party,Norge bør fortsette å føre en restriktiv politikk når det gjelder å innrømme asyl.,Immigration,AGAINST
nor: Centre Party,Kultur handler om identitet og tilhørighet og spiller en viktig rolle i personlig utvikling og selvstendighet.,Integration,FAVOR
nor: Norwegian Labour Party,"Kvinner med innvandrerbakgrunn kan oppleve dobbel diskriminering, både med basis i kjønn og med basis i etnisk bakgrunn",Integration,FAVOR
nor: Socialist Left Party,. Ved ny vurdering skal ventetiden tillegges avgjørende vekt i retning av opphold,Immigration,FAVOR
nor: Liberal Party,Arbeid er nøkkelen til å kunne ta makten over eget liv og til integrering.,Integration,FAVOR
nor: Norwegian Labour Party,Mottak av kvoteflyktninger er den sikreste og mest rettferdige måten å sikre mennesker varig beskyttelse på,Immigration,AGAINST
nor: Conservative Party,anledningen til å trenere hjemsendelse etter avslag må begrenses,Immigration,AGAINST
nor: Centre Party,Senterpartiet mener at det er en sentral utfordring å ha et lovverk og offentlig politikk som bidrar til å forhindre diskriminering av grupper eller enkeltpersoner.,Integration,FAVOR
nor: Socialist Left Party,I tillegg vil SV arbeide for at flere offentlige dokumenter oversettes til de vanligste minoritetsspråkene.,Integration,FAVOR
nor: Norwegian Labour Party,ha obligatorisk norsk- og samfunnsfagkurs for personer som kommer til Norge gjennom familiegjenforening.,Integration,AGAINST
nor: Christian People’s Party,. Det må etableres et statlig fastlagt finansieringssystem som sikrer reell økonomisk likebehandling av offentlige og private barnehager.,Integration,FAVOR
nor: Christian People’s Party,Norge må gjøre mer for å gi mennesker som trenger det beskyttelse.,Immigration,FAVOR
nor: Progress Party,"16.At de som innvilges beskyttelse  gjennom asyl eller oppholdstillatelse  på humanitært grunnlag, kun får mid-lertidig oppholds- og arbeidstillatelse,  og følgelig at de må reise hjem når  forholdene i hjemlandet er trygge.",Immigration,AGAINST
nor: Conservative Party,"alle mennesker skal respekteres og behandles som likeverdige, uavhengig av kjønn, alder, religion, etnisk tilhørighet, funksjonsdyktighet eller legning",Integration,FAVOR
nor: Centre Party,Samtidig må integreringsarbeidet styrkes slik at flyktninger og asylsøkere kan fungere best mulig i det norske samfunnet.,Integration,FAVOR
nor: Norwegian Labour Party,redusere antallet illegale innvandrere gjennom flere returavtaler og flere ressurser til politiet,Immigration,AGAINST
nor: Progress Party,"4.Sørge for at utenlandske stats-borgere som dømmes for forbry-telser med strafferamme utover  ubetinget fengsel i 3 måneder, automatisk utvises fra landet etter  endt soning, med mindre vedkom-mende kan utleveres til hjemlandet  for soning der.",Integration,AGAINST
nor: Liberal Party,Det er ingen motsetning mellom å være likeverdige og det å være forskjellige.,Integration,FAVOR
nor: Socialist Left Party,SV vil arbeide for at alle typer oppholdstillatelser skal gi rett til familiegjenforening.,Immigration,FAVOR
nor: Progress Party,Utvisning alene er imidlertid ikke nok for å  forebygge kriminalitet.,Integration,AGAINST
nor: Christian People’s Party,Alle mennesker er like mye verdt.,Integration,FAVOR
nor: Liberal Party,Dette er ikke først og fremst et uttrykk for en sammenheng mellom kultur og kriminalitet.,Integration,AGAINST
nor: Liberal Party,og økt nyttegjøring av den kulturkompetansen som kommer til Norge gjennom innflyttere fra andre kulturer.,Integration,FAVOR
nor: Progress Party,. dette er også en forutsetning for en vellykket integrering.,Integration,FAVOR
nor: Centre Party,at lovbrudd skal kunne få konsekvenser ved behandlingen av asylsøknader.,Immigration,AGAINST
nor: Norwegian Labour Party,". Arbeiderpartiet vil ha en aktiv returpolitikk som bidrar til at flere velger å reise frivillig, men også bruke tvangsmessige returer.",Immigration,AGAINST
nor: Conservative Party,"Mennesker som må flykte fra sine hjemland på grunn av forfølgelse eller naturkatastrofer, skal kunne søke beskyttelse i Norge, i tråd med internasjonale menneskerettigheter og våre internasjonale forpliktelser.",Immigration,FAVOR
nor: Socialist Left Party,. SV mener minoritetsspråklige barn og unge skal få tilpasset morsmålsopplæring i form av lese– og skriveopplæring og tospråklig fagopplæring på morsmålet sitt,Integration,FAVOR
nor: Conservative Party,u høyres mål er at innvandrere og flyktninger raskest mulig skal bli i stand til å forsørge seg selv.,Integration,AGAINST
nor: Christian People’s Party,Flyktninger som kommer til Norge har svært ulik bakgrunn og varierende grad av problemer.,Integration,NONE
nor: Liberal Party,"Venstre vil arbeide for en ytterligere oppmykning, forenkling og endring i regelverket for arbeidsinnvandring til Norge",Immigration,FAVOR
nor: Norwegian Labour Party,. og medier for ulike nasjonale minoriteter,Integration,FAVOR
nor: Progress Party,"Der det er mulig, bør disse  sone i sine hjemland, noe som kan gjøres  ved at Norge leier fengselsplasser i disse  landene.",Immigration,AGAINST
nor: Christian People’s Party,støtte frivillige organisasjoner som gir ilbud til barn og unge.,Integration,FAVOR
nor: Progress Party,"Et åpent samfunn, basert på  demokratiske verdier, skal kunne reagere  overfor dem som ikke følger samfunnets  regler.",Integration,AGAINST
nor: Progress Party,". hurtigdomstolen skal ha utvidede åpningstider, og ta imot saker hvor politiet har tatt gjerningsmenn og har sikre bevis",Integration,AGAINST
nor: Centre Party,Kirkebygget har vært møteplass og samlingsmerke for norske lokalsamfunn i hele vår nyere historie,Integration,FAVOR
nor: Christian People’s Party,". Oslo har de beste og dårligste levekår i Norge, og de største sosiale utfordringene, ikke minst innenfor psykiatri, rus og integrering.",Integration,NONE
nor: Liberal Party,Grunnlovsfeste retten til å søke asyl.,Immigration,FAVOR
nor: Socialist Left Party,. Det må settes klare måltall for rekruttering av arbeidssøkende med funksjonsnedsettelser og arbeidssøkende med minoritetsbakgrunn.,Integration,FAVOR
nor: Christian People’s Party,Flere kommuner må bosette flere flyktninger for at vi skal få en bedre integrering.,Integration,FAVOR
nor: Socialist Left Party,Handlingsplanen for rekruttering av minoritetsspråklige til offentlig sektor har ikke ført til flere ansettelser av minoritetsspråklige.,Integration,FAVOR
nor: Norwegian Labour Party,bedre oversikten over antall norske barn som til enhver tid oppholder seg i utlandet,Integration,NONE
nor: Socialist Left Party,SV vil derfor avskaffe monarkiet og innføre republikk som styringsform i Norge.,Integration,FAVOR
nor: Socialist Left Party,SV vil ikke at Norge skal være en del av en felles europeisk innvandringspolitikk som går ut på å stenge folk fra andre deler av verden ute.,Immigration,FAVOR
nor: Christian People’s Party,Alle mennesker har krav på å bli møtt med respekt og individuell behandling.,Integration,FAVOR
nor: Conservative Party,i nnføre en obligatorisk språk og kunnskapstest for alle som søker norsk statsborgerskap.,Integration,AGAINST
nor: Christian People’s Party,at behandlingstiden for asylsøknader kortes ned til seks måneder.,Immigration,FAVOR
nor: Centre Party,". Ethvert individ som søker asyl og opphold i Norge, skal ha trygghet for at rettsikkerheten ivaretas og at en får oppfylt sine rettigheter som individ",Immigration,FAVOR
nor: Conservative Party,. høyre vil at norge skal øke støtten for å sikre flere flyktninger en fremtid utenfor flyktningleirene.,Immigration,FAVOR
nor: Conservative Party,derfor vil høyre ha klare økonomiske krav for dem som henter familien til landet.,Integration,FAVOR
nor: Socialist Left Party,"SV vil arbeide mot forbud mot klesdrakt eller bruk av kleskoder som uttrykker kulturell, sosial eller religiøs tilhørighet.",Integration,AGAINST
nor: Liberal Party,Foreta en helhetlig evaluering av Utlendingsnemnda,Immigration,AGAINST
nor: Centre Party,sette i verk tiltak for å sikre rekruttering til realfagsstudier.,Integration,FAVOR
nor: Conservative Party,og sommerskole for spesielt å nå innvandrerbarn.,Integration,FAVOR
nor: Centre Party,ikke sende asylsøkere ut av Norge før de har fått saken sin vurdert i samsvar med internasjonale avtaler og er sikret rettssikkerhet i annet land.,Immigration,FAVOR
nor: Socialist Left Party,I en slik omlegging må regjeringen likevel beholde sin adgang til å styre utlendingsfeltet gjennom forskrifter slik at feltet ikke avpolitiseres.,Immigration,AGAINST
nor: Christian People’s Party,Asyl: Fristed for personer som er flyktninger i flyktningkonvensjonens forstand.,Immigration,NONE
nor: Progress Party,Baklandspatruljer vil også kunne  fange opp flere menneskesmuglere.,Immigration,AGAINST
nor: Socialist Left Party,Videre bør det tilrettelegges for å øke rekrutteringen av ungdom med minoritetsbakgrunn til høyere utdanning.,Integration,FAVOR
nor: Progress Party,og vil derfor opprett-holde innvandringsstoppen.,Immigration,AGAINST
nor: Progress Party,. asylsøknader bør behandles i løpet av maksimalt en måned,Immigration,FAVOR
nor: Centre Party,". Menneskeverd, humanistiske tradisjoner og vårt internasjonale arbeid for å hjelpe mennesker som er forfulgt, ligger til grunn for vår politikk",Immigration,FAVOR
nor: Conservative Party,styrke det lokale integreringsarbeidet gjennom å gi kommuner og frivillige organisasjoner ressurser til å drive integreringsarbeid.,Integration,FAVOR
nor: Liberal Party,Norge må i sterkere grad markedsføre seg som et attraktivt sted å bo og arbeide.,Immigration,FAVOR
nor: Centre Party,. Den kristne og humanistiske kulturarven legger grunnen for et samfunn bygd på toleranse og respekt for det ulikeartete og det som er annerledes,Integration,FAVOR
nor: Norwegian Labour Party,". I tillegg bidrar kultursatsing til større forståelse mellom mennesker, inkludering og integrering",Integration,FAVOR
nor: Conservative Party,I tillegg til holdningsskapende arbeid vil Høyre arbeide for at man raskere kan få godkjent og komplettert kompetanse fra andre land til bruk i norsk arbeidsliv.,Integration,FAVOR
nor: Centre Party,"Sametinget, som er samenes folkevalgte organ i Norge, skal utvikle samisk språk, kultur, næringer og rettigheter på samenes eget grunnlag",Integration,FAVOR
nor: Norwegian Labour Party,", og at tilbudet er tilgjengelig for alle, uansett bosted, inntekt, kjønn, etnisitet og språk eller alde",Integration,FAVOR
nor: Christian People’s Party,at det skal innføres norskopplæring og annen form for aktivitets- og jobbtilbud i asylmottakene.,Immigration,FAVOR
